procedure_name,tin_type,tin_value,billing_class,negotiated_type,service_code,negotiated_rate,npi,reporting_entity_name,reporting_entity_type,plan_name,plan_id_type,plan_id,plan_market_type,last_updated_on,version,url,billing_code,NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Mailing Address,Provider Second Line Business Mailing Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,Provider Business Mailing Address Postal Code,Provider Business Mailing Address Country Code (If outside U.S.),Provider Business Mailing Address Telephone Number,Provider Business Mailing Address Fax Number,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number,Provider Enumeration Date,Last Update Date,Authorized Official Last Name,Authorized Official First Name,Authorized Official Middle Name,Authorized Official Title or Position,Authorized Official Telephone Number,Provider License Number_1,Provider License Number State Code_1,Healthcare Provider Primary Taxonomy Switch_1,Is Sole Proprietor,Is Organization Subpart,Parent Organization LBN,Parent Organization TIN,Authorized Official Name Prefix Text,Authorized Official Name Suffix Text,Authorized Official Credential Text,Healthcare Provider Taxonomy Group_1,Healthcare Provider Taxonomy Group_2,Certification Date,Combined_taxonomy_codes
Chemical destruction of pre-cancerous lesions of the skin,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",122.86,1790091155,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,17250,1790091155,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,US,8309901404.0,8309901408.0,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,8309901404.0,8309901408.0,8/24/2010,7/21/2022,WARRINER,ELIZABETH,,DIRECTOR,8309906631,,,N,,N,,,,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,,"207Q00000X, 207RG0100X, 207V00000X, 207X00000X, 207Y00000X, 208600000X, 261QM1300X"
"Debridement (for example, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps)",ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",134.36,1477200178,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,97597,1477200178,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,PO BOX 835,,FREDERICKSBURG,TX,786240835,US,,,801 STEVE HAWKINS PKWY STE 100,,MARBLE FALLS,TX,786546303,8309905871.0,,3/3/2022,3/3/2022,KOTAL,CLINTON,,CHIO,8309901378,,,Y,,N,,,,,,,,3/3/2022,293D00000X
"Debridement (for example, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps)",ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",134.36,1790091155,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,97597,1790091155,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,US,8309901404.0,8309901408.0,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,8309901404.0,8309901408.0,8/24/2010,7/21/2022,WARRINER,ELIZABETH,,DIRECTOR,8309906631,,,N,,N,,,,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,,"207Q00000X, 207RG0100X, 207V00000X, 207X00000X, 207Y00000X, 208600000X, 261QM1300X"
Initial visit for new patients 1-4 years old,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",149.83,1477200178,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,99382,1477200178,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,PO BOX 835,,FREDERICKSBURG,TX,786240835,US,,,801 STEVE HAWKINS PKWY STE 100,,MARBLE FALLS,TX,786546303,8309905871.0,,3/3/2022,3/3/2022,KOTAL,CLINTON,,CHIO,8309901378,,,Y,,N,,,,,,,,3/3/2022,293D00000X
Initial visit for new patients 1-4 years old,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",149.83,1790091155,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,99382,1790091155,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,US,8309901404.0,8309901408.0,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,8309901404.0,8309901408.0,8/24/2010,7/21/2022,WARRINER,ELIZABETH,,DIRECTOR,8309906631,,,N,,N,,,,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,,"207Q00000X, 207RG0100X, 207V00000X, 207X00000X, 207Y00000X, 208600000X, 261QM1300X"
Test to determine heart abnormalities,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",190.78,1477200178,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,93015,1477200178,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,PO BOX 835,,FREDERICKSBURG,TX,786240835,US,,,801 STEVE HAWKINS PKWY STE 100,,MARBLE FALLS,TX,786546303,8309905871.0,,3/3/2022,3/3/2022,KOTAL,CLINTON,,CHIO,8309901378,,,Y,,N,,,,,,,,3/3/2022,293D00000X
Test to determine heart abnormalities,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",190.78,1790091155,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,93015,1790091155,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,US,8309901404.0,8309901408.0,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,8309901404.0,8309901408.0,8/24/2010,7/21/2022,WARRINER,ELIZABETH,,DIRECTOR,8309906631,,,N,,N,,,,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,,"207Q00000X, 207RG0100X, 207V00000X, 207X00000X, 207Y00000X, 208600000X, 261QM1300X"
Under Excision-Benign Lesions Procedures on the Skin 0.6-1 CM,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",221.29,1477200178,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,11401,1477200178,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,PO BOX 835,,FREDERICKSBURG,TX,786240835,US,,,801 STEVE HAWKINS PKWY STE 100,,MARBLE FALLS,TX,786546303,8309905871.0,,3/3/2022,3/3/2022,KOTAL,CLINTON,,CHIO,8309901378,,,Y,,N,,,,,,,,3/3/2022,293D00000X
Under Excision-Benign Lesions Procedures on the Skin 0.6-1 CM,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",221.29,1790091155,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,11401,1790091155,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,US,8309901404.0,8309901408.0,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,8309901404.0,8309901408.0,8/24/2010,7/21/2022,WARRINER,ELIZABETH,,DIRECTOR,8309906631,,,N,,N,,,,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,,"207Q00000X, 207RG0100X, 207V00000X, 207X00000X, 207Y00000X, 208600000X, 261QM1300X"
Laser removal of incompetent vein,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",2932.76,1477200178,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,36478,1477200178,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,PO BOX 835,,FREDERICKSBURG,TX,786240835,US,,,801 STEVE HAWKINS PKWY STE 100,,MARBLE FALLS,TX,786546303,8309905871.0,,3/3/2022,3/3/2022,KOTAL,CLINTON,,CHIO,8309901378,,,Y,,N,,,,,,,,3/3/2022,293D00000X
Laser removal of incompetent vein,ein,272860109,professional,negotiated,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",2932.76,1790091155,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,36478,1790091155,2,HILL COUNTRY PRIMARY CARE PHYSICIANS,,,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,US,8309901404.0,8309901408.0,205 W WINDCREST ST,SUITE 130,FREDERICKSBURG,TX,786244479,8309901404.0,8309901408.0,8/24/2010,7/21/2022,WARRINER,ELIZABETH,,DIRECTOR,8309906631,,,N,,N,,,,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,,"207Q00000X, 207RG0100X, 207V00000X, 207X00000X, 207Y00000X, 208600000X, 261QM1300X"
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",3.85,1376844936,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1376844936,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - MARBLE FALLS,3.0,PO BOX 844658,,DALLAS,TX,752844339,US,2547242111.0,,706 AVE G,,MARBLE FALLS,TX,786545866,8306938234.0,8306939090.0,11/12/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",3.85,1699076257,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1699076257,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - LLANO,3.0,PO BOX 844658,,DALLAS,TX,752844339,US,2547242111.0,,102 E YOUNG ST,,LLANO,TX,786431349,3252474131.0,3252472562.0,11/12/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",3.85,1730480393,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1730480393,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - KINGSLAND,3.0,PO BOX 844658,,DALLAS,TX,752844339,US,2547242111.0,,105 FM 2342,,KINGSLAND,TX,786396010,3253883515.0,3253889422.0,11/12/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",3.85,1821399767,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1821399767,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - HORSESHOE BAY,3.0,PO BOX 844658,,DALLAS,TX,752844658,US,,,100 PECAN CROSSING,,HORSESHOE BAY,TX,786570733,8305984405.0,8305962154.0,11/9/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",4.95,1376844936,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1376844936,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - MARBLE FALLS,3.0,PO BOX 844658,,DALLAS,TX,752844339,US,2547242111.0,,706 AVE G,,MARBLE FALLS,TX,786545866,8306938234.0,8306939090.0,11/12/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",4.95,1699076257,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1699076257,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - LLANO,3.0,PO BOX 844658,,DALLAS,TX,752844339,US,2547242111.0,,102 E YOUNG ST,,LLANO,TX,786431349,3252474131.0,3252472562.0,11/12/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",4.95,1730480393,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1730480393,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - KINGSLAND,3.0,PO BOX 844658,,DALLAS,TX,752844339,US,2547242111.0,,105 FM 2342,,KINGSLAND,TX,786396010,3253883515.0,3253889422.0,11/12/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
Blood test to measure a type of thyroid hormone,ein,273026151,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",4.95,1821399767,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,84436,1821399767,2,SCOTT & WHITE HOSPITAL - MARBLE FALLS,BAYLOR SCOTT & WHITE CLINIC - HORSESHOE BAY,3.0,PO BOX 844658,,DALLAS,TX,752844658,US,,,100 PECAN CROSSING,,HORSESHOE BAY,TX,786570733,8305984405.0,8305962154.0,11/9/2010,10/17/2019,OLS,TIMOTHY,,CEO,8302018679,100090.0,TX,Y,,N,,,,,,,,,261QR1300X
